,CIK,Ticker,FilingDate,FileName,SECFileName,DocTypes
0,1011835,MDVN,20070323,0001193125-07-062811.txt.text,0001193125-07-062811.txt,"['8-K', 'EX-16.1']"
1,101594,USEG,20070124,0000101594-07-000026.txt.text,0000101594-07-000026.txt,"['8-K', 'EX-16.A', 'EX-16.B']"
2,101594,USEG,20070205,0000101594-07-000037.txt.text,0000101594-07-000037.txt,['8-K']
3,1032761,KEYN,20070104,0001157523-07-000071.txt.text,0001157523-07-000071.txt,"['8-K', 'EX-16.01']"
4,1044577,CPSL,20070104,0001144204-07-000307.txt.text,0001144204-07-000307.txt,"['8-K', 'EX-3.1', 'EX-10.1', 'EX-10.2', 'EX-10.3', 'EX-10.4', 'EX-10.5', 'EX-10.6', 'EX-10.7', 'EX-10.8', 'EX-10.9', 'EX-16.1', 'EX-99.1', 'EX-99.2', 'EX-99.3']"
5,1066026,CNQR,20070111,0001193125-07-005475.txt.text,0001193125-07-005475.txt,"['8-K', 'EX-16.01']"
6,1070154,PBNY,20070104,0000943374-07-000006.txt.text,0000943374-07-000006.txt,"['8-K', 'EX-16']"
7,1084048,JCOM,20070320,0001072613-07-000728.txt.text,0001072613-07-000728.txt,"['8-K', 'EX-16']"
8,1085869,PRFT,20070322,0001144204-07-014155.txt.text,0001144204-07-014155.txt,"['8-K', 'EX-16.1']"
9,1091883,CIR,20070302,0001193125-07-045225.txt.text,0001193125-07-045225.txt,"['8-K', 'EX-16.1']"
10,1135185,AIR,20070227,0001299933-07-001205.txt.text,0001299933-07-001205.txt,"['8-K', 'EX-16']"
11,1137774,PRU,20070209,0001193125-07-025460.txt.text,0001193125-07-025460.txt,['8-K']
12,1166380,QTWW,20070216,0001181431-07-012448.txt.text,0001181431-07-012448.txt,"['8-K', 'EX-16.1']"
13,1185348,PRAA,20070313,0001299933-07-001577.txt.text,0001299933-07-001577.txt,"['8-K', 'EX-16']"
14,1203900,CEU,20070116,0001144204-07-001770.txt.text,0001144204-07-001770.txt,"['8-K', 'EX-16']"
15,1261888,CAST,20070306,0000950134-07-004890.txt.text,0000950134-07-004890.txt,['8-K']
16,1296205,ZAGG,20070321,0001096906-07-000404.txt.text,0001096906-07-000404.txt,"['8-K', 'EX-16']"
17,1303330,CHLN,20070118,0001144204-07-002328.txt.text,0001144204-07-002328.txt,"['8-K', 'EX-16.1']"
18,1349437,TWER,20070119,0000950136-07-000272.txt.text,0000950136-07-000272.txt,['8-K']
19,1350684,CNIT,20070129,0001376189-07-000003.txt.text,0001376189-07-000003.txt,"['8-K', 'EX-16']"
20,1378453,TA,20070330,0000908737-07-000152.txt.text,0000908737-07-000152.txt,"['8-K', 'EX-16.1']"
21,1381531,UFS,20070313,0001193125-07-053473.txt.text,0001193125-07-053473.txt,"['8-K', 'EX-16']"
22,201533,CMS,20070125,0001299933-07-000470.txt.text,0001299933-07-000470.txt,"['8-K', 'EX-16.1']"
23,350199,CACH,20070330,0000902664-07-001340.txt.text,0000902664-07-001340.txt,['8-K']
24,352915,UHS,20070321,0001193125-07-060437.txt.text,0001193125-07-060437.txt,"['8-K', 'EX-16.1']"
25,3570,LNG,20070302,0001193125-07-045534.txt.text,0001193125-07-045534.txt,"['8-K', 'EX-16.1']"
26,37008,FUR,20070323,0001193805-07-000864.txt.text,0001193805-07-000864.txt,"['8-K', 'EX-16.1', 'EX-99.1']"
27,63908,MCD,20070306,0000063908-07-000017.txt.text,0000063908-07-000017.txt,"['8-K', 'EX-16']"
28,63908,MCD,20070306,0000063908-07-000019.txt.text,0000063908-07-000019.txt,"['8-K', 'EX-16']"
29,70145,NFG,20070207,0000950152-07-000845.txt.text,0000950152-07-000845.txt,['8-K']
30,70318,THC,20070109,0001104659-07-001607.txt.text,0001104659-07-001607.txt,"['8-K', 'EX-16.1']"
31,719220,STBA,20070109,0000719220-07-000001.txt.text,0000719220-07-000001.txt,"['8-K', 'EX-16']"
32,721693,CREG,20070112,0001010549-07-000039.txt.text,0001010549-07-000039.txt,"['8-K', 'EX-16.1']"
33,7332,SWN,20070301,0000007332-07-000012.txt.text,0000007332-07-000012.txt,"['8-K', 'EX-16']"
34,743238,SPAR,20070329,0000905729-07-000125.txt.text,0000905729-07-000125.txt,"['8-K', 'EX-16.1']"
35,745651,ABAT,20070109,0000745651-07-000001.txt.text,0000745651-07-000001.txt,"['8-K', 'EX-16']"
36,76321,PKD,20070315,0000950129-07-001384.txt.text,0000950129-07-001384.txt,"['8-K', 'EX-16.1']"
37,790024,SHZ,20070301,0001023175-07-000030.txt.text,0001023175-07-000030.txt,"['8-K', 'EX-16.1', 'EX-16.2']"
38,790715,SIGM,20070109,0001266454-07-000005.txt.text,0001266454-07-000005.txt,"['8-K', 'EX-16.1']"
39,790715,SIGM,20070110,0001266454-07-000013.txt.text,0001266454-07-000013.txt,['8-K']
40,807863,MITK,20070125,0001144204-07-003161.txt.text,0001144204-07-003161.txt,"['8-K', 'EX-16.01']"
41,811156,CMS,20070125,0001299933-07-000470.txt.text,0001299933-07-000470.txt,"['8-K', 'EX-16.1']"
42,814250,LDSH,20070316,0000897069-07-000790.txt.text,0000897069-07-000790.txt,"['8-K', 'EX-99.(A)']"
43,820081,CBM,20070321,0000950123-07-004220.txt.text,0000950123-07-004220.txt,"['8-K', 'EX-16.1']"
44,833444,TYC,20070321,0001104659-07-021114.txt.text,0001104659-07-021114.txt,['8-K']
45,833444,TYC,20070321,0001104659-07-021116.txt.text,0001104659-07-021116.txt,['8-K']
46,836429,SURG,20070111,0000950137-07-000228.txt.text,0000950137-07-000228.txt,['8-K']
47,837173,WLT,20070103,0001104659-07-000393.txt.text,0001104659-07-000393.txt,"['8-K', 'EX-16.1']"
48,855658,LSCC,20070319,0001104659-07-020422.txt.text,0001104659-07-020422.txt,"['8-K', 'EX-16.1']"
49,858470,COG,20070313,0001193125-07-053101.txt.text,0001193125-07-053101.txt,"['8-K', 'EX-16.1']"
50,866535,IPI,20070221,0001019687-07-000538.txt.text,0001019687-07-000538.txt,"['8-K', 'EX-16.1']"
51,876343,BTX,20070222,0000876343-07-000004.txt.text,0000876343-07-000004.txt,"['8-K', 'EX-16.1']"
52,885551,VLNC,20070206,0001011438-07-000072.txt.text,0001011438-07-000072.txt,"['8-K', 'EX-16', 'EX-99']"
53,888953,ORCC,20070323,0001299933-07-001841.txt.text,0001299933-07-001841.txt,"['8-K', 'EX-16.1']"
54,888953,ORCC,20070328,0001299933-07-001903.txt.text,0001299933-07-001903.txt,"['8-K', 'EX-99.1']"
55,903129,ARGN,20070319,0001193125-07-058264.txt.text,0001193125-07-058264.txt,"['8-K', 'EX-16.1']"
56,912463,GES,20070323,0001104659-07-021742.txt.text,0001104659-07-021742.txt,"['8-K', 'EX-16.1']"
57,912750,NFX,20070312,0000950129-07-001318.txt.text,0000950129-07-001318.txt,"['8-K', 'EX-16.1']"
58,914024,SHAW,20070212,0000950129-07-000576.txt.text,0000950129-07-000576.txt,"['8-K', 'EX-16']"
59,914024,SHAW,20070319,0001299933-07-001691.txt.text,0001299933-07-001691.txt,['8-K']
60,920321,CVO,20070316,0001068800-07-000763.txt.text,0001068800-07-000763.txt,"['8-K', 'EX-99.1']"
61,933141,IBKC,20070316,0001193125-07-056674.txt.text,0001193125-07-056674.txt,"['8-K', 'EX-16.1']"
62,1008654,TUP,20070515,0001193125-07-115210.txt.text,0001193125-07-115210.txt,['8-K']
63,1009356,SLXP,20070420,0001193125-07-086368.txt.text,0001193125-07-086368.txt,"['8-K', 'EX-16.1']"
64,1011570,KNL,20070515,0001181431-07-032528.txt.text,0001181431-07-032528.txt,"['8-K', 'EX-16.1']"
65,1013880,TTEC,20070509,0001035704-07-000373.txt.text,0001035704-07-000373.txt,"['8-K', 'EX-16.1']"
66,1029506,RAH,20070412,0001029506-07-000022.txt.text,0001029506-07-000022.txt,"['8-K', 'EX-99.1']"
67,1035983,FIX,20070402,0001104659-07-025003.txt.text,0001104659-07-025003.txt,['8-K']
68,1039684,OKE,20070502,0001181431-07-028986.txt.text,0001181431-07-028986.txt,"['8-K', 'EX-16.1']"
